"Planet Name","Pl. Mass","Pl. Radius","Pl. Period","Pl. Semi-axis","Pl. Ecc.","Pl. Incl.","Ang. Dist.","St. Dist","St. Spec. Type","St. Mass","St. [Fe/H]","St. Right Asc.","St. Decli.","St. Mag. V.","St. Mag. I","St. Mag. H","St. Mag. J","St. Mag. K","St. Radius",
"11 UMi b","10.5",,"516.22","1.54","0.08",,"0.012887","119.5","K4III","1.8","0.04","15 17 06","+71 49 26","5.02",,,,,"24.08",
"14 And b","4.8",,"185.84","0.83","0.0",,"0.010864","76.4","K0III","2.2","-0.24","23 31 17","+39 14 10","5.22","4.1","2.61","3.02","2.33","11",
"14 Her b","4.64",,"1773.4","2.77","0.369",,"0.153039","18.1","K0 V","0.9","0.43","16 10 23","+43 49 18","6.67",,,,,"0.708",
"16 Cyg B b","1.68",,"799.5","1.68","0.689",,"0.078468","21.41","G2.5 V","1.01","0.08","19 41 51","+50 31 03","6.2",,,,,"0.98",
"18 Del b","10.3",,"993.3","2.6","0.08",,"0.035568","73.1","G6III","2.3","-0.052","20 58 26","+10 50 21","5.52",,"3.44","4.03","3.67","8.5",
"1RXS1609 b","8","1.7",,"330",,,"2.275862","145","K7V","0.73",,"16 09 30","-21 04 58",,"10.99","9.12","9.82","8.92","1.35",
"24 Sex b","1.99",,"452.8","1.333","0.09",,"0.017821","74.8","G5","1.54","-0.03","10 23 28","-00 54 08","7.38",,,,,"4.9",
"24 Sex c","0.86",,"883","2.08","0.29",,"0.027807","74.8","G5","1.54","-0.03","10 23 28","-00 54 08","7.38",,,,,"4.9",
"2M J044144 b","7.5",,,"15",,,"0.107143","140","M8.5","0.02",,"04 41 45","+23 01 51",,,"13.72","14.2","13.16",,
"2M1207 b","4","1.5",,"46",,,"0.877863","52.4","M8","0.025",,"12 07 33","-39 32 54","20.15","15.95",,"13",,,
"30 Ari B b","9.88",,"335.1","0.995","0.289",,"0.025254","39.4","F6V","1.13","0.07","02 36 58","+24 38 53","7.1",,,,,"1.13",
"4 Uma b","7.1",,"269.3","0.87","0.432",,"0.013945","62.39","K1III","1.234","-0.25","08 40 13","+64 19 41","5.79",,,,,,
"42 Dra b","3.88",,"479.1","1.19","0.38",,"0.01223","97.3","K1.5III","0.98","-0.46","18 25 59","+65 33 49","4.83",,,,,"22.03",
"47 Uma b","2.53",,"1078","2.1","0.032",,"0.150322","13.97","G0V","1.03",,"10 59 29","+40 25 46","5.1",,,,,"1.24",
"47 Uma c","0.54",,"2391","3.6","0.098",,"0.257695","13.97","G0V","1.03",,"10 59 29","+40 25 46","5.1",,,,,"1.24",
"47 Uma d","1.64",,"14002","11.6","0.16",,"0.830351","13.97","G0V","1.03",,"10 59 29","+40 25 46","5.1",,,,,"1.24",
"51 Peg b","0.468",,"4.23077","0.052","0.0","79","0.003537","14.7","G2 IV","1.11","0.2","22 57 27","+20 46 07","5.49",,,,,"1.266",
"55 Cnc b","0.824",,"14.65162","0.115","0.014",,"0.008833","13.02","G8 V","1.03","0.29","08 52 37","+28 20 02","5.95",,,,,"1.15",
"55 Cnc c","0.169",,"44.3446","0.24","0.086",,"0.018433","13.02","G8 V","1.03","0.29","08 52 37","+28 20 02","5.95",,,,,"1.15",
"55 Cnc d","3.835",,"5218","5.77","0.025",,"0.443164","13.02","G8 V","1.03","0.29","08 52 37","+28 20 02","5.95",,,,,"1.15",
"55 Cnc e","0.024",,"2.81705","0.038","0.07",,"0.002919","13.02","G8 V","1.03","0.29","08 52 37","+28 20 02","5.95",,,,,"1.15",
"55 Cnc f","0.144",,"260","0.781","0.2",,"0.059985","13.02","G8 V","1.03","0.29","08 52 37","+28 20 02","5.95",,,,,"1.15",
"6 Lyn b","2.4",,"899","2.2","0.134",,"0.038664","56.9","K0IV","1.7","-0.13","06 30 47","+58 09 46","5.86","4.8","3.03","4.27","3.7","5.2",
"61 Vir b","0.016",,"4.215","0.050201","0.12",,"0.005892","8.52","G5V","0.95","-0.01","13 18 24","-18 18 40","4.74",,,,,"0.94",
"61 Vir c","0.0573",,"38.021","0.2175","0.14",,"0.025528","8.52","G5V","0.95","-0.01","13 18 24","-18 18 40","4.74",,,,,"0.94",
"61 Vir d","0.072",,"123.01","0.476","0.35",,"0.055869","8.52","G5V","0.95","-0.01","13 18 24","-18 18 40","4.74",,,,,"0.94",
"70 Vir b","7.44",,"116.689","0.48","0.4",,"0.021818","22","G4 V","1.1","-0.03","13 28 26","+13 47 12","5",,,,,"1.968",
"81 Cet b","5.3",,"952.7","2.5","0.206",,"0.02572","97.2","G5III","2.4","-0.06","02 37 42","-03 23 46","5.65",,"3.38","3.94","3.27","11",
"AB Pic b","13.5",,,"275",,,"6.030702","45.6","K2 V",,"-0.64","06 19 12","-58 03 15","9.16",,,,,,
"BD-082823 b","0.045",,"5.6","0.056","0.15",,"0.001327","42.2","K3V","0.74","-0.07","10 00 48","-09 31 00","9.86",,,,,,
"BD-082823 c","0.33",,"237.6","0.68","0.19",,"0.016114","42.2","K3V","0.74","-0.07","10 00 48","-09 31 00","9.86",,,,,,
"BD-10 3166 b","0.48",,"3.488","0.046","0.07",,,,"G4 V","0.99","0.5","10 58 28","-10 46 13","10.08",,,,,"1.71",
"BD-17 63 b","5.1",,"655.6","1.34","0.54",,"0.038728","34.6","K5V","0.74","-0.03","00 28 34","-16 13 35","9.62",,,,,"0.69",
"BD14 4559 b","1.47",,"268.94","0.777","0.29",,"0.01554","50","K2V","0.86","0.1","21 13 36","+14 41 22","9.63",,,,,,
"BD20 2457 b","21.42",,"379.63","1.45","0.15",,"0.00725","200","K2II","2.8","-1","10 16 45","+19 53 29","9.75",,,,,,
"BD20 2457 c","12.47",,"621.99","2.01","0.18",,"0.01005","200","K2II","2.8","-1","10 16 45","+19 53 29","9.75",,,,,,
"beta Pic b","8",,"6000","12",,,"0.621762","19.3","A6V","1.8",,"05 47 17","-51 03 59","3.86",,,,,,
"CoRoT-1 b","1.03","1.49","1.5089557","0.0254","0.0","85.1","5.5e-05","460","G0V","0.95","-0.3","06 48 19","-03 06 08","13.6",,,,,"1.11",
"CoRoT-10 b","2.75","0.97","13.2406","0.1055","0.53","88.55","0.000306","345","K1V","0.89","0.26","19 24 15","+00 44 46","15.22",,,,,"0.79",
"CoRoT-11 b","2.33","1.43","2.99433","0.0436","0.0","83.17","7.8e-05","560","F6V","1.27","-0.03","18 42 45","+05 56 16","12.94",,,,,"1.37",
"CoRoT-12 b","0.917","1.44","2.828042","0.04016","0.07","85.48","3.5e-05","1150","G2V","1.078","0.16","06 43 04","-01 17 47","15.52",,,,,"1.116",
"CoRoT-13 b","1.308","0.885","4.03519","0.051","0.0","88.02","3.9e-05","1310","G0V","1.09","0.01","06 50 53","-05 05 11","15.04",,,,,"1.01",
"CoRoT-14 b","7.6","1.09","1.51214","0.027","0.0","79.6","2e-05","1340","F9V","1.13","0.05","06 53 42","-05 32 10","16.03",,,,,"1.21",
"CoRoT-16 b","0.5","0.813","5.3534208",,,"85.82",,,"G5V",,,,,"15.64",,,,,"0.814",
"CoRoT-17 b","2.45","1.47","3.768125",,,"77.47",,,"G5V",,,,,"15.46",,,,,"2",
"CoRoT-2 b","3.31","1.465","1.7429964","0.0281","0.0","87.84","9.4e-05","300","G7V","0.97",,"19 27 07","+01 23 02","12.57",,,,,"0.902",
"CoRoT-3 b","21.66","1.01","4.2568","0.057","0.0","85.9","8.4e-05","680","F3V","1.37","-0.02","19 28 13","+00 07 19","13.3",,,,,"1.56",
